tweet_id,airline,airline_sentiment,word,sentiment
2,Virgin America,positive,tacky,negative
4,Virgin America,negative,aggressive,negative
4,Virgin America,negative,obnoxious,negative
5,Virgin America,negative,bad,negative
6,Virgin America,negative,bad,negative
8,Virgin America,neutral,missed,negative
8,Virgin America,neutral,parody,negative
10,Virgin America,positive,amazing,positive
11,Virgin America,neutral,suicide,negative
11,Virgin America,neutral,leading,positive
11,Virgin America,neutral,death,negative
12,Virgin America,positive,pretty,positive
14,Virgin America,positive,fabulous,positive
14,Virgin America,positive,stress,negative
17,Virgin America,positive,excited,positive
20,Virgin America,positive,amazingly,positive
20,Virgin America,positive,awesome,positive
22,Virgin America,positive,love,positive
23,Virgin America,positive,love,positive
23,Virgin America,positive,innovation,positive
25,Virgin America,negative,messed,negative
25,Virgin America,negative,free,positive
27,Virgin America,negative,fail,negative
28,Virgin America,neutral,miss,negative
28,Virgin America,neutral,worry,negative
29,Virgin America,negative,amazing,positive
29,Virgin America,negative,cold,negative
31,Virgin America,negative,cool,positive
31,Virgin America,negative,elevate,positive
33,Virgin America,negative,expensive,negative
34,Virgin America,negative,prefer,positive
36,Virgin America,neutral,nice,positive
37,Virgin America,positive,cool,positive
37,Virgin America,positive,calming,positive
40,Virgin America,negative,support,positive
42,Virgin America,negative,excited,positive
42,Virgin America,negative,hard,negative
42,Virgin America,negative,elevate,positive
43,Virgin America,neutral,win,positive
48,Virgin America,positive,wow,positive
50,Virgin America,neutral,entertaining,positive
52,Virgin America,positive,impressive,positive
56,Virgin America,negative,excited,positive
58,Virgin America,positive,amazing,positive
62,Virgin America,negative,elevate,positive
65,Virgin America,positive,love,positive
69,Virgin America,positive,winning,positive
69,Virgin America,positive,award,positive
70,Virgin America,negative,fine,positive
70,Virgin America,negative,lost,negative
74,Virgin America,negative,awesome,positive
74,Virgin America,negative,dirty,negative
75,Virgin America,positive,worried,negative
76,Virgin America,positive,awesome,positive
76,Virgin America,positive,correct,positive
80,Virgin America,neutral,doom,negative
83,Virgin America,negative,delayed,negative
85,Virgin America,negative,disappointing,negative
