negativereason,n,managerial_action
Customer Service Issue,2910,Increase service capacity and improve service recovery.
Late Flight,1665,Improve punctuality monitoring and delay communication.
Can't Tell,1190,Manually review ambiguous complaints before acting.
Cancelled Flight,847,Strengthen rebooking and compensation processes.
Lost Luggage,724,Improve baggage tracking and recovery communication.
Bad Flight,580,Monitor and improve the in-flight customer experience.
Flight Booking Problems,529,Optimize booking interface and booking support.
Flight Attendant Complaints,481,Train cabin crew communication and service recovery.
longlines,178,Improve airport queue and counter management.
Damaged Luggage,74,Improve luggage handling and compensation workflow.
