airline,negativereason,n
American,Customer Service Issue,768
American,Late Flight,249
American,Cancelled Flight,246
Delta,Late Flight,269
Delta,Customer Service Issue,199
Delta,Can't Tell,186
Southwest,Customer Service Issue,391
Southwest,Cancelled Flight,162
Southwest,Can't Tell,159
US Airways,Customer Service Issue,811
US Airways,Late Flight,453
US Airways,Can't Tell,246
United,Customer Service Issue,681
United,Late Flight,525
United,Can't Tell,379
Virgin America,Customer Service Issue,60
Virgin America,Flight Booking Problems,28
Virgin America,Can't Tell,22
