airline,airline_sentiment,n,share
American,negative,1960,0.7104023196810438
American,neutral,463,0.16781442551649148
American,positive,336,0.12178325480246466
Delta,negative,955,0.4297929792979298
Delta,neutral,723,0.3253825382538254
Delta,positive,544,0.2448244824482448
Southwest,negative,1186,0.4900826446280992
Southwest,neutral,664,0.2743801652892562
Southwest,positive,570,0.23553719008264462
US Airways,negative,2263,0.7768623412289736
US Airways,neutral,381,0.13079299691040164
US Airways,positive,269,0.09234466186062479
United,negative,2633,0.6889063317634746
United,neutral,697,0.18236525379382523
United,positive,492,0.12872841444270017
Virgin America,negative,181,0.35912698412698413
Virgin America,neutral,171,0.3392857142857143
Virgin America,positive,152,0.30158730158730157
